#Name  kT        Joules        kJ/mol    
GLY    1.530     6.337E-21     3.825     
ALA    3.045     1.261E-20     7.613     
ARG    3.508     1.453E-20     8.769     
ASN    3.719     1.540E-20     9.296     
ASP    1.773     7.346E-21     4.434     
CYS    3.672     1.521E-20     9.180     
GLN    3.555     1.472E-20     8.887     
GLU    3.437     1.423E-20     8.591     
ILE    2.735     1.133E-20     6.838     
LEU    2.710     1.123E-20     6.776     
LYS    3.118     1.291E-20     7.794     
MET    3.365     1.394E-20     8.413     
PHE    3.648     1.511E-20     9.121     
PRO    2.964     1.228E-20     7.410     
SER    3.602     1.492E-20     9.004     
THR    3.142     1.301E-20     7.854     
TRP    4.200     1.740E-20     10.500    
TYR    3.342     1.384E-20     8.354     
VAL    2.760     1.143E-20     6.900     
HID    3.118     1.291E-20     7.794     
HIE    3.118     1.291E-20     7.794     
HIP    3.118     1.291E-20     7.794     
CYM    3.672     1.521E-20     9.180     
AAN    1.773     7.346E-21     4.434     
GAN    3.437     1.423E-20     8.591     
DGL    1.997     8.271E-21     4.993     
MAN    2.776     1.150E-20     6.941     
FUC    2.940     1.218E-20     7.349     
NGL    2.801     1.160E-20     7.002     
NGA    2.520     1.044E-20     6.300     
CHL    1.160     4.804E-21     2.900     
ETA    1.739     7.202E-21     4.347     
EST    0.901     3.730E-21     2.252     
